offering_id,course_id,section_id,professor_id,session_index,day,timeslot,room_id
2,3,8,5,1,Mon,1,13
22,7,3,2,1,Mon,1,15
12,7,10,2,1,Mon,2,2
15,3,3,5,1,Mon,2,13
28,13,9,4,1,Mon,2,14
3,15,9,5,1,Mon,3,5
9,11,8,1,1,Mon,3,13
23,12,5,1,1,Mon,4,28
17,7,10,2,1,Mon,5,3
27,6,3,3,1,Mon,5,5
19,14,1,5,1,Mon,5,8
7,10,6,8,1,Mon,6,4
4,6,1,3,1,Mon,6,7
16,7,10,2,1,Mon,6,9
26,9,10,2,1,Tue,2,13
6,2,4,1,1,Tue,3,2
5,1,6,2,1,Tue,3,3
1,3,9,5,1,Tue,3,5
20,2,9,1,1,Tue,4,8
24,13,3,4,1,Tue,4,22
29,10,6,8,1,Tue,4,27
11,9,5,2,1,Tue,5,6
30,2,6,1,1,Tue,5,18
21,13,6,4,1,Tue,6,15
8,8,7,9,1,Tue,6,21
10,3,4,5,1,Wed,1,28
14,2,1,1,1,Wed,2,7
27,6,3,3,2,Wed,2,17
13,4,3,4,1,Wed,3,29
18,9,5,2,1,Wed,4,20
28,13,9,4,2,Wed,4,28
9,11,8,1,2,Wed,5,4
25,2,5,1,1,Wed,6,18
6,2,4,1,2,Thu,1,12
5,1,6,2,2,Thu,1,15
21,13,6,4,2,Thu,2,3
26,9,10,2,2,Thu,2,10
17,7,10,2,2,Thu,3,5
7,10,6,8,2,Thu,3,10
12,7,10,2,2,Thu,4,4
15,3,3,5,2,Thu,4,11
23,12,5,1,2,Thu,5,4
29,10,6,8,2,Thu,5,27
24,13,3,4,2,Thu,6,8
11,9,5,2,2,Thu,6,9
4,6,1,3,2,Thu,6,13
20,2,9,1,2,Thu,6,20
2,3,8,5,2,Fri,1,4
18,9,5,2,2,Fri,1,29
22,7,3,2,2,Fri,2,7
30,2,6,1,2,Fri,2,9
19,14,1,5,2,Fri,2,15
10,3,4,5,2,Fri,3,21
14,2,1,1,2,Fri,3,29
8,8,7,9,2,Fri,4,2
25,2,5,1,2,Fri,4,14
13,4,3,4,2,Fri,4,25
3,15,9,5,2,Fri,5,8
16,7,10,2,2,Fri,5,15
1,3,9,5,2,Fri,6,6
